latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
54.79789,-1.6039429,43.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),rain_sum (mm),snowfall_sum (cm)
2022-04-01,2.8,6.1,0.3,8.40,20.0,37.8,0.90,5.25
2022-04-02,3.1,6.8,-0.6,0.90,13.8,28.8,0.80,0.07
2022-04-03,5.6,9.8,0.5,1.90,25.4,43.9,1.90,0.00
2022-04-04,11.0,14.1,7.6,1.10,41.2,73.1,1.10,0.00
2022-04-05,10.5,12.3,9.1,1.50,32.0,62.3,1.50,0.00
2022-04-06,8.8,10.8,5.7,1.60,33.5,63.0,1.60,0.00
2022-04-07,4.9,8.0,2.9,4.80,34.5,60.1,4.00,0.56
2022-04-08,4.3,8.9,0.5,1.80,18.3,41.8,0.60,0.84
2022-04-09,4.6,8.5,0.9,0.80,22.0,41.4,0.70,0.07
2022-04-10,5.9,11.4,0.3,0.00,12.3,23.0,0.00,0.00
2022-04-11,7.2,11.5,2.1,1.60,24.9,47.2,1.60,0.00
2022-04-12,8.4,10.6,5.6,8.90,16.9,31.3,8.90,0.00
2022-04-13,11.1,14.8,8.7,0.90,25.6,46.8,0.90,0.00
2022-04-14,11.2,15.6,7.1,0.00,12.1,24.1,0.00,0.00
2022-04-15,12.3,16.8,7.7,0.20,17.5,32.8,0.20,0.00
2022-04-16,12.3,18.3,8.1,0.30,22.0,41.4,0.30,0.00
2022-04-17,12.9,16.9,8.6,0.00,25.3,46.4,0.00,0.00
2022-04-18,10.2,13.6,4.8,2.60,18.4,35.6,2.60,0.00
2022-04-19,7.7,12.4,2.3,0.50,9.7,22.7,0.50,0.00
2022-04-20,8.1,13.7,2.9,0.00,17.6,34.9,0.00,0.00
2022-04-21,8.0,12.4,3.2,0.00,16.6,34.6,0.00,0.00
2022-04-22,9.2,14.0,6.2,0.00,25.2,46.4,0.00,0.00
2022-04-23,9.3,12.5,6.5,0.00,27.1,51.1,0.00,0.00
2022-04-24,8.4,11.1,5.8,2.60,29.6,54.4,2.60,0.00
2022-04-25,7.5,10.4,4.2,1.50,17.2,34.2,1.50,0.00
2022-04-26,6.8,9.2,4.4,1.20,17.3,32.8,1.20,0.00
2022-04-27,6.7,9.0,4.3,0.10,13.6,27.4,0.10,0.00
2022-04-28,6.6,9.5,4.0,0.00,9.1,17.6,0.00,0.00
2022-04-29,7.8,13.7,0.2,0.00,8.3,19.8,0.00,0.00
2022-04-30,9.7,15.2,3.2,4.60,20.2,38.5,4.60,0.00
2022-05-01,11.7,15.4,8.8,5.20,15.7,29.9,5.20,0.00
2022-05-02,10.1,13.2,7.3,0.40,16.7,33.1,0.40,0.00
2022-05-03,9.1,11.9,7.2,2.60,13.7,24.8,2.60,0.00
2022-05-04,11.9,16.5,7.6,12.20,21.9,40.0,12.20,0.00
2022-05-05,12.4,16.4,7.7,0.20,16.9,32.8,0.20,0.00
2022-05-06,12.3,15.1,10.3,2.40,21.9,40.7,2.40,0.00
2022-05-07,10.1,12.9,6.1,0.00,17.8,32.4,0.00,0.00
2022-05-08,10.7,16.0,4.9,0.00,21.0,37.1,0.00,0.00
2022-05-09,12.3,16.7,7.0,1.10,27.7,55.1,1.10,0.00
2022-05-10,13.2,15.1,10.8,0.70,30.8,61.2,0.70,0.00
2022-05-11,12.2,15.0,9.2,1.70,26.3,48.6,1.70,0.00
2022-05-12,10.9,13.5,7.8,0.20,27.5,49.3,0.20,0.00
2022-05-13,12.8,15.4,10.2,0.10,36.4,66.6,0.10,0.00
2022-05-14,13.6,19.7,7.5,0.00,11.0,23.0,0.00,0.00
2022-05-15,12.0,16.9,8.1,3.00,21.9,44.3,3.00,0.00
2022-05-16,12.4,16.9,10.0,7.00,20.1,35.3,7.00,0.00
2022-05-17,15.9,19.8,10.7,7.10,27.8,55.1,7.10,0.00
2022-05-18,14.9,18.3,10.9,2.60,24.7,46.1,2.60,0.00
2022-05-19,13.4,17.0,10.3,0.40,20.9,40.0,0.40,0.00
2022-05-20,12.3,15.2,9.3,1.30,21.9,42.5,1.30,0.00
2022-05-21,12.6,15.4,9.5,0.30,23.8,43.9,0.30,0.00
2022-05-22,13.7,17.1,9.6,0.30,25.9,49.0,0.30,0.00
2022-05-23,13.1,16.3,10.7,2.60,18.0,32.0,2.60,0.00
2022-05-24,11.8,14.9,9.2,6.10,20.9,41.4,6.10,0.00
2022-05-25,12.7,16.4,10.3,0.50,31.7,57.2,0.50,0.00
2022-05-26,12.7,16.8,9.5,0.90,32.6,59.4,0.90,0.00
2022-05-27,12.1,15.9,9.1,0.00,34.8,63.0,0.00,0.00
2022-05-28,10.5,13.6,7.3,1.20,19.7,34.2,1.20,0.00
2022-05-29,9.6,12.6,6.0,2.30,21.4,40.0,2.30,0.00
2022-05-30,9.7,12.1,7.1,7.20,8.1,22.3,7.20,0.00
2022-05-31,9.6,12.5,7.1,7.60,9.4,19.1,7.60,0.00
2022-06-01,10.7,13.8,7.2,1.60,15.3,31.7,1.60,0.00
2022-06-02,13.1,17.7,7.7,2.40,13.7,27.7,2.40,0.00
2022-06-03,12.5,15.7,9.9,1.10,19.3,36.7,1.10,0.00
2022-06-04,10.8,12.5,8.7,0.20,17.9,35.3,0.20,0.00
2022-06-05,10.7,13.3,7.2,3.10,23.0,43.9,3.10,0.00
2022-06-06,11.7,14.6,10.0,3.10,18.3,33.8,3.10,0.00
2022-06-07,11.9,15.1,9.0,0.00,15.3,28.1,0.00,0.00
2022-06-08,14.3,18.9,10.4,8.40,19.9,38.2,8.40,0.00
2022-06-09,14.9,18.5,11.1,0.30,23.4,44.3,0.30,0.00
2022-06-10,15.8,18.5,13.4,0.00,35.2,63.4,0.00,0.00
2022-06-11,14.6,17.0,12.3,0.60,32.6,60.5,0.60,0.00
2022-06-12,13.3,15.5,10.5,0.80,27.9,53.3,0.80,0.00
2022-06-13,13.1,16.3,9.4,0.10,22.3,40.7,0.10,0.00
2022-06-14,14.1,17.6,9.7,0.20,15.8,31.7,0.20,0.00
2022-06-15,15.1,20.7,8.7,0.00,15.9,30.6,0.00,0.00
2022-06-16,18.0,23.2,12.3,0.00,14.5,29.2,0.00,0.00
2022-06-17,18.2,22.2,13.3,0.50,30.0,58.0,0.50,0.00
2022-06-18,13.1,16.1,10.3,0.00,23.9,42.8,0.00,0.00
2022-06-19,13.5,17.2,9.8,0.00,24.0,44.6,0.00,0.00
2022-06-20,14.5,20.3,8.3,0.00,14.5,28.8,0.00,0.00
2022-06-21,16.0,20.0,11.2,1.20,11.4,24.8,1.20,0.00
2022-06-22,18.2,23.8,12.5,0.00,12.9,26.6,0.00,0.00
2022-06-23,18.4,24.3,11.3,3.20,20.4,40.3,3.20,0.00
2022-06-24,18.1,22.2,14.6,7.20,20.1,36.7,7.20,0.00
2022-06-25,16.0,19.2,12.8,0.40,30.6,56.2,0.40,0.00
2022-06-26,14.9,18.4,10.6,0.00,34.3,62.6,0.00,0.00
2022-06-27,14.1,17.0,10.7,0.10,22.4,42.8,0.10,0.00
2022-06-28,14.7,18.1,10.3,0.90,30.3,56.9,0.90,0.00
2022-06-29,16.0,19.8,13.3,5.10,24.6,45.7,5.10,0.00
2022-06-30,15.4,18.3,12.4,2.40,10.2,24.1,2.40,0.00
2022-07-01,14.5,17.7,12.5,7.50,23.5,40.7,7.50,0.00
2022-07-02,15.1,17.7,12.5,0.40,25.7,50.4,0.40,0.00
2022-07-03,15.0,18.3,11.6,0.30,20.9,40.0,0.30,0.00
2022-07-04,14.7,17.1,11.9,0.00,31.5,60.1,0.00,0.00
2022-07-05,14.2,17.7,10.8,0.40,23.3,42.8,0.40,0.00
2022-07-06,16.7,19.4,13.8,1.30,31.4,58.7,1.30,0.00
2022-07-07,17.6,23.2,12.6,0.00,23.3,40.3,0.00,0.00
2022-07-08,17.9,22.4,14.5,0.00,23.7,43.6,0.00,0.00
2022-07-09,17.6,22.4,12.8,0.00,22.5,40.0,0.00,0.00
2022-07-10,19.9,25.5,14.6,0.00,16.9,28.8,0.00,0.00
2022-07-11,20.4,26.5,13.7,0.00,18.8,35.3,0.00,0.00
2022-07-12,19.6,22.4,17.4,0.00,21.7,41.0,0.00,0.00
2022-07-13,16.7,20.2,12.9,0.40,22.3,43.2,0.40,0.00
2022-07-14,15.7,19.6,12.9,0.60,22.3,42.5,0.60,0.00
2022-07-15,16.2,19.8,13.3,1.50,27.2,50.4,1.50,0.00
2022-07-16,17.8,24.6,10.6,0.00,13.2,25.6,0.00,0.00
2022-07-17,20.7,26.2,14.4,0.30,22.2,42.5,0.30,0.00
2022-07-18,25.0,30.1,20.4,0.00,21.1,37.8,0.00,0.00
2022-07-19,26.8,35.3,20.7,0.00,25.9,59.4,0.00,0.00
2022-07-20,19.7,25.2,16.2,2.50,21.5,41.0,2.50,0.00
2022-07-21,16.0,18.3,14.3,2.40,14.2,27.7,2.40,0.00
