latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.493847,-0.1630249,23.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),rain_sum (mm),snowfall_sum (cm)
2022-04-01,3.7,7.3,0.4,2.40,35.5,60.5,2.00,0.28
2022-04-02,3.2,8.4,-1.0,0.80,15.0,30.2,0.70,0.07
2022-04-03,3.7,9.2,-3.1,0.10,15.5,24.8,0.10,0.00
2022-04-04,9.1,14.7,4.1,3.40,29.9,47.5,3.40,0.00
2022-04-05,10.9,14.0,8.1,0.10,25.7,42.8,0.10,0.00
2022-04-06,10.5,13.6,8.1,2.40,35.4,62.3,2.40,0.00
2022-04-07,8.8,12.5,3.5,4.50,45.2,74.5,4.50,0.00
2022-04-08,6.0,10.7,2.2,1.60,16.9,31.3,1.50,0.07
2022-04-09,6.2,10.6,0.9,0.90,17.7,34.2,0.90,0.00
2022-04-10,7.4,13.4,1.5,0.00,16.6,31.0,0.00,0.00
2022-04-11,10.8,16.1,4.5,0.00,24.7,42.5,0.00,0.00
2022-04-12,12.7,18.5,9.1,5.00,24.5,46.1,5.00,0.00
2022-04-13,12.8,17.5,8.7,0.40,23.3,40.3,0.40,0.00
2022-04-14,12.3,18.0,5.8,0.00,9.4,21.2,0.00,0.00
2022-04-15,13.7,20.8,6.8,0.00,11.3,18.4,0.00,0.00
2022-04-16,12.0,17.8,7.1,0.00,14.9,29.2,0.00,0.00
2022-04-17,11.8,18.0,5.8,0.00,16.4,31.0,0.00,0.00
2022-04-18,10.9,16.0,5.3,0.00,12.3,20.5,0.00,0.00
2022-04-19,10.9,15.9,5.6,0.10,20.9,35.3,0.10,0.00
2022-04-20,11.3,17.3,6.6,0.00,23.2,43.2,0.00,0.00
2022-04-21,11.7,17.5,6.6,0.00,24.5,42.5,0.00,0.00
2022-04-22,11.6,15.4,7.8,0.10,32.3,53.6,0.10,0.00
2022-04-23,12.6,16.4,8.4,0.00,31.3,56.2,0.00,0.00
2022-04-24,12.5,17.6,6.9,0.00,23.9,42.8,0.00,0.00
2022-04-25,9.5,13.7,5.3,0.30,23.1,40.3,0.30,0.00
2022-04-26,10.0,14.8,4.0,0.00,18.4,34.6,0.00,0.00
2022-04-27,8.6,11.9,4.2,0.10,18.4,32.8,0.10,0.00
2022-04-28,9.5,14.0,4.2,0.10,16.9,31.3,0.10,0.00
2022-04-29,8.3,11.5,4.2,0.00,16.8,32.0,0.00,0.00
2022-04-30,10.4,16.2,2.2,0.00,13.5,22.0,0.00,0.00
2022-05-01,11.0,13.6,8.8,1.60,14.3,24.5,1.60,0.00
2022-05-02,11.9,15.7,6.5,0.40,7.6,14.8,0.40,0.00
2022-05-03,12.1,14.3,9.8,0.00,12.8,22.7,0.00,0.00
2022-05-04,12.5,18.1,9.1,4.50,16.9,36.0,4.50,0.00
2022-05-05,13.2,19.0,6.8,0.00,14.1,28.1,0.00,0.00
2022-05-06,14.8,21.0,8.7,0.00,20.2,34.2,0.00,0.00
2022-05-07,14.0,18.0,10.6,2.30,15.7,30.2,2.30,0.00
2022-05-08,12.2,17.0,7.7,0.00,15.4,30.6,0.00,0.00
2022-05-09,14.3,20.9,4.4,0.00,23.7,41.0,0.00,0.00
2022-05-10,15.4,18.6,12.0,1.50,24.7,42.1,1.50,0.00
2022-05-11,12.9,16.5,9.3,4.20,36.7,60.8,4.20,0.00
2022-05-12,12.6,17.4,7.1,0.00,22.5,41.4,0.00,0.00
2022-05-13,14.4,19.5,9.8,0.00,26.4,45.4,0.00,0.00
2022-05-14,14.4,20.9,6.8,0.00,10.9,19.4,0.00,0.00
2022-05-15,15.0,21.6,12.2,24.80,23.1,40.3,24.80,0.00
2022-05-16,16.2,19.2,12.4,1.70,29.9,50.8,1.70,0.00
2022-05-17,18.2,24.0,11.6,0.10,24.0,40.3,0.10,0.00
2022-05-18,16.6,21.3,10.8,19.90,16.0,31.7,19.90,0.00
2022-05-19,16.6,21.5,12.2,11.20,18.0,33.8,11.20,0.00
2022-05-20,13.5,17.0,11.3,4.00,27.4,45.4,4.00,0.00
2022-05-21,14.2,19.4,9.6,0.00,18.1,33.1,0.00,0.00
2022-05-22,15.5,21.7,8.8,0.00,13.8,26.3,0.00,0.00
2022-05-23,14.1,17.8,10.5,2.50,17.7,30.2,2.50,0.00
2022-05-24,12.7,15.9,9.3,4.00,18.4,37.1,4.00,0.00
2022-05-25,13.3,17.8,8.5,0.20,30.8,53.6,0.20,0.00
2022-05-26,15.7,20.1,10.4,0.00,29.6,49.3,0.00,0.00
2022-05-27,15.3,18.8,10.8,0.00,17.8,32.0,0.00,0.00
2022-05-28,12.7,16.5,8.0,0.10,18.7,33.1,0.10,0.00
2022-05-29,11.0,14.9,6.7,0.40,19.6,35.6,0.40,0.00
2022-05-30,10.9,14.2,5.8,1.50,18.9,33.5,1.50,0.00
2022-05-31,11.4,15.6,8.1,3.40,16.6,37.4,3.40,0.00
2022-06-01,12.3,17.2,6.7,0.00,12.0,23.8,0.00,0.00
2022-06-02,13.9,18.8,7.2,0.00,16.2,30.6,0.00,0.00
2022-06-03,16.3,21.9,10.1,0.20,23.4,38.5,0.20,0.00
2022-06-04,14.8,19.8,11.9,2.40,30.0,52.6,2.40,0.00
2022-06-05,13.8,16.5,11.4,5.30,19.5,32.0,5.30,0.00
2022-06-06,14.2,16.9,11.5,0.30,18.0,32.4,0.30,0.00
2022-06-07,15.5,19.8,9.7,3.50,17.3,31.7,3.50,0.00
2022-06-08,16.6,20.5,12.8,29.20,26.4,45.0,29.20,0.00
2022-06-09,15.4,19.5,10.4,0.40,21.2,37.1,0.40,0.00
2022-06-10,17.6,22.2,13.9,0.10,28.8,47.5,0.10,0.00
2022-06-11,16.5,21.5,11.4,0.50,25.0,42.8,0.50,0.00
2022-06-12,15.6,20.0,10.4,0.00,22.1,37.4,0.00,0.00
2022-06-13,15.3,19.2,9.5,0.00,11.6,23.8,0.00,0.00
2022-06-14,16.7,22.6,9.1,0.00,10.8,24.5,0.00,0.00
2022-06-15,18.7,26.0,9.6,0.00,10.8,22.0,0.00,0.00
2022-06-16,20.0,27.1,11.2,0.00,16.3,26.3,0.00,0.00
2022-06-17,23.4,30.1,15.1,0.20,25.7,44.6,0.20,0.00
2022-06-18,18.9,24.1,13.6,10.20,28.0,47.2,10.20,0.00
2022-06-19,14.5,18.2,10.4,1.00,20.6,35.6,1.00,0.00
2022-06-20,15.6,20.3,10.6,0.60,21.9,40.3,0.60,0.00
2022-06-21,16.5,22.8,9.1,0.00,10.8,22.0,0.00,0.00
