latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
56.41476,-3.3609924,11.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),rain_sum (mm),snowfall_sum (cm)
2022-04-01,2.9,7.8,-1.5,0.00,11.9,23.4,0.00,0.00
2022-04-02,3.0,7.4,-1.5,1.20,8.8,22.3,0.80,0.28
2022-04-03,4.0,9.6,-1.9,3.80,28.4,55.1,3.80,0.00
2022-04-04,10.2,13.3,7.2,1.00,22.4,45.4,1.00,0.00
2022-04-05,5.7,8.9,3.9,16.90,25.4,47.9,16.90,0.00
2022-04-06,6.9,9.6,2.7,6.20,28.2,52.9,5.80,0.28
2022-04-07,4.4,7.4,1.9,2.50,24.7,53.6,2.50,0.00
2022-04-08,4.2,8.5,-0.1,0.00,19.6,41.4,0.00,0.00
2022-04-09,4.1,8.6,-0.9,0.10,19.7,39.6,0.10,0.00
2022-04-10,4.7,9.4,-2.5,0.20,12.3,26.6,0.20,0.00
2022-04-11,6.6,8.9,4.4,0.00,24.9,48.6,0.00,0.00
2022-04-12,7.1,8.8,5.3,8.10,21.6,42.1,8.10,0.00
2022-04-13,9.7,14.2,6.6,1.50,16.0,32.4,1.50,0.00
2022-04-14,8.5,11.7,5.0,1.00,11.3,22.3,1.00,0.00
2022-04-15,10.9,14.3,7.3,0.30,15.1,31.0,0.30,0.00
2022-04-16,11.0,14.4,6.8,0.10,17.1,35.3,0.10,0.00
2022-04-17,11.8,15.9,8.9,1.70,18.9,37.8,1.70,0.00
2022-04-18,9.5,12.1,4.6,1.00,22.2,45.4,1.00,0.00
2022-04-19,7.7,12.9,1.4,0.00,9.2,20.9,0.00,0.00
2022-04-20,7.6,13.1,2.1,0.00,17.7,36.0,0.00,0.00
2022-04-21,8.3,13.4,3.2,0.00,23.7,47.2,0.00,0.00
2022-04-22,10.0,15.4,5.4,0.00,23.6,46.4,0.00,0.00
2022-04-23,9.8,15.2,5.3,0.00,23.7,46.8,0.00,0.00
2022-04-24,9.5,13.2,5.7,0.30,18.7,38.2,0.30,0.00
2022-04-25,8.5,11.4,6.8,0.30,13.4,27.0,0.30,0.00
2022-04-26,7.6,9.6,4.9,0.60,14.1,27.4,0.60,0.00
2022-04-27,7.1,10.5,2.8,0.20,9.7,19.4,0.20,0.00
2022-04-28,7.6,13.2,-0.3,0.00,10.2,21.2,0.00,0.00
2022-04-29,9.7,15.1,3.5,0.10,9.2,17.6,0.10,0.00
2022-04-30,8.6,13.2,4.2,5.40,15.2,29.9,5.40,0.00
2022-05-01,11.8,15.4,9.1,0.90,9.5,21.6,0.90,0.00
2022-05-02,9.6,12.1,7.1,1.40,14.2,27.4,1.40,0.00
2022-05-03,8.3,11.9,5.9,2.00,9.7,23.0,2.00,0.00
2022-05-04,12.1,16.8,7.8,1.10,20.7,41.4,1.10,0.00
2022-05-05,11.4,14.6,6.6,0.80,21.9,43.2,0.80,0.00
2022-05-06,12.9,16.1,9.4,1.90,21.4,43.6,1.90,0.00
2022-05-07,10.3,13.8,7.3,0.10,11.8,25.2,0.10,0.00
2022-05-08,11.8,16.9,6.0,0.50,12.0,25.2,0.50,0.00
2022-05-09,11.9,14.1,9.6,7.90,23.9,48.2,7.90,0.00
2022-05-10,11.2,13.9,9.1,0.80,29.8,61.2,0.80,0.00
2022-05-11,11.0,14.0,7.7,1.40,27.2,51.8,1.40,0.00
2022-05-12,9.7,12.5,6.6,0.90,29.0,59.0,0.90,0.00
2022-05-13,11.4,13.9,8.4,0.70,35.5,74.2,0.70,0.00
2022-05-14,13.0,17.5,8.6,0.00,20.6,41.8,0.00,0.00
2022-05-15,11.2,14.8,5.2,1.00,23.0,44.6,1.00,0.00
2022-05-16,9.9,10.4,9.4,8.50,25.9,52.2,8.50,0.00
2022-05-17,13.1,17.6,8.7,3.50,24.2,49.0,3.50,0.00
2022-05-18,13.7,18.1,9.7,0.90,29.1,57.6,0.90,0.00
