latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
53.954304,-1.0444946,13.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),rain_sum (mm),snowfall_sum (cm)
2022-04-01,3.0,6.8,-0.8,4.90,20.1,38.9,1.70,2.24
2022-04-02,2.6,7.9,-2.7,0.40,15.8,30.2,0.40,0.00
2022-04-03,4.6,10.1,-2.3,2.00,23.8,45.7,2.00,0.00
2022-04-04,10.5,13.2,6.2,2.80,35.4,59.0,2.80,0.00
2022-04-05,10.6,12.1,9.6,0.20,35.8,61.9,0.20,0.00
2022-04-06,9.6,11.2,6.3,3.10,32.2,59.4,3.10,0.00
2022-04-07,6.2,9.7,2.7,2.80,38.5,67.0,2.80,0.00
2022-04-08,4.1,8.9,-1.2,0.30,21.3,38.9,0.30,0.00
2022-04-09,4.6,9.1,0.0,0.20,24.0,42.1,0.20,0.00
2022-04-10,5.6,11.9,-1.6,0.00,11.5,22.3,0.00,0.00
2022-04-11,9.0,12.9,5.7,3.40,31.4,54.4,3.40,0.00
2022-04-12,11.4,15.6,6.9,11.40,21.2,40.3,11.40,0.00
2022-04-13,11.1,14.6,6.1,0.30,23.4,42.8,0.30,0.00
2022-04-14,11.4,17.1,5.6,0.00,10.8,21.2,0.00,0.00
2022-04-15,12.6,18.5,7.8,0.00,19.7,34.6,0.00,0.00
2022-04-16,13.2,18.9,7.6,0.00,18.9,36.7,0.00,0.00
2022-04-17,12.7,17.5,8.1,0.00,22.8,40.0,0.00,0.00
2022-04-18,10.7,13.9,7.5,1.90,17.2,31.7,1.90,0.00
2022-04-19,9.6,13.7,5.3,1.00,13.8,26.3,1.00,0.00
2022-04-20,9.3,14.6,4.5,0.00,19.6,36.7,0.00,0.00
2022-04-21,9.4,14.9,4.3,0.00,20.7,37.8,0.00,0.00
2022-04-22,10.1,15.3,6.2,0.00,25.8,46.8,0.00,0.00
2022-04-23,10.2,13.9,7.5,0.00,30.2,54.4,0.00,0.00
2022-04-24,9.5,13.4,5.7,0.30,24.7,45.4,0.30,0.00
2022-04-25,8.4,12.2,4.2,1.20,18.2,33.8,1.20,0.00
2022-04-26,7.5,11.8,2.8,0.40,16.8,31.0,0.40,0.00
2022-04-27,7.4,10.1,4.4,0.00,14.0,27.0,0.00,0.00
2022-04-28,7.8,10.3,5.5,0.10,12.0,21.2,0.10,0.00
2022-04-29,8.5,13.6,4.1,0.00,9.4,18.7,0.00,0.00
2022-04-30,10.2,16.0,4.0,0.60,18.2,32.4,0.60,0.00
2022-05-01,10.9,13.6,8.8,3.80,10.0,18.4,3.80,0.00
2022-05-02,11.3,15.4,7.6,1.70,14.9,26.3,1.70,0.00
2022-05-03,9.8,11.9,8.1,0.70,13.7,22.7,0.70,0.00
2022-05-04,11.8,16.6,8.1,11.40,18.7,37.1,11.40,0.00
2022-05-05,12.1,16.9,6.5,0.00,16.1,28.4,0.00,0.00
2022-05-06,12.7,17.0,7.7,3.30,22.4,41.8,3.30,0.00
